,course_id,translated_title,category,instructional_level,translated_headline,translated_objectives_summary
1,591930,Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,personal_development,All Levels,The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,"['Learn to read roughly 3 times the speed of an average college graduate, with above-average comprehension and retention', 'Master the exact same skills that win World Championships in Memorization - skills that can teach you to memorize thousands of data points in order', 'Learn how to process and internalize information in a highly-effective way, and how to apply this teaching to any skill you wish to learn']"
189,657730,Performance Under Pressure - Taking Action,personal_development,Intermediate Level,"Understand Your Reactions, Take Action, Deal with Colleagues, and Be Always Ready for Potentially Stressful Situations","['avoid overanalysis and overconfidence in high-pressure situations', 'understand the challenge in a high-pressure situation from emotional reactions', 'manage your automatic thoughts to optimize perceptions in high-pressure situations']"
278,3227547,Brain Hacking Presentations Skills,personal_development,All Levels,"Presentation Skills Hacks: 7 Neuroscience hacks to make presentations, public speaking and PowerPoint more impactful.","['How to make compelling slides and visuals for presentations', 'How to strategically direct the attention of your audience to maximize retention', 'How to present and communicate numerical data, charts and graphs']"
368,700868,Performance Under Pressure - The Full Course,personal_development,Intermediate Level,"Learn How to Effectively Manage Your Attitude, Your Actions and Your Relationships","['Identify factors in a situation likely to trigger pressure, recognize how your response to pressure can impair your performance', 'Conduct a stress profile and recognize how to manage your attitude in pressurized situations', 'Avoid overanalysis and overconfidence in high-pressure situations, understand the challenge in a high-pressure situation from emotional reactions']"
414,378032,Learn to be a Financial Analyst,personal_development,All Levels,"Master the skills you need to get a job as a financial analyst: forecasting, budgets, variance analysis and more","['Perform the job duties of an entry level financial analyst at a major corporation', 'Students will be able to build a basic financial forecast, annual business plan and prepare common reports typically required in this role']"
529,3439406,The Complete Graphology & Handwriting Analysis Certification,personal_development,All Levels,"Learn the art of decoding personalities, just by analysing their handwriting. Includes all aspects of handwriting.","['Complete graphology & handwriting analysis, for all scripts. (Gestalt Method)', 'Complete a-z alphabet analysis for Roman script (English, French, Spanish, German etc)', 'Recognise a number of traits in people like, creativity, attention span, tendency to cheat, forgiveness level, sympathy, self-esteem, goals and many more..']"
570,3369858,How to Start a Career in Data Science 2022,personal_development,All Levels,"The Ultimate Guide to Starting a Data Science Career: Create a Project Portfolio, Build Your Resume, Get an Interview","['How to land a job in data science', 'Create your data science project portfolio', 'Build your resume']"
597,2999138,Notion 101: Organize your personal & work life with ease,personal_development,All Levels,Learn all that you need to know to get started with the Notion software,"['Learn how to use Notion to organize your personal & work life', 'Learn how Notion databases work', 'Learn how Notion formulas work']"
598,1453209,Become a Pro Handwriting Analyst: Graphology for all scripts,personal_development,All Levels,Learn how to analysis handwriting of english and any other foreign language,['Students will be able to analyse a handwriting sample in any script and tell personality traits of a person from the handwriting.']
604,176962,Become A Business Analyst,personal_development,All Levels,"Foundation course in Business Analysis core concepts, tools and key modelling techniques essential in the work place.","['At the end of this course you will have a foundation knowledge of all Business Analysis concepts and analysis techniques.', 'Business Analysis in the Organisation ', 'The role of the Business Analyst']"
606,1870422,Certified Minitab Beginner: Graphical Tools (Accredited),personal_development,Beginner Level,Certified Minitab Beginner (Accredited) | Master Graphical Tools with Minitab | Achieve Minitab Beginner Certification,"['Minitab Specialist for Beginners Certification from AIGPE', 'Make your Resume Lucrative; Stand out of the Competition & Impress your Interviewer(s)', 'Enhance your Skills to analyze data using Minitab']"
636,190868,Remote Viewing Advanced - Intuition of Billionaires,personal_development,Expert Level,How to use Remote Viewing and your intuitive ability to solve problems for an optimum life trajectory.,"['You will be able to distinguish between real Intuitive data and junk information.', ""You'll be able reliably predict one of the top 3 winners of any Horse race."", 'Your intuitive skills will be vastly augmented to help in work and your personal life.']"
750,1453247,Signature Analysis - Beginner to Advance,personal_development,Intermediate Level,Learn 26 aspects of signature analysis,"['Analyse signature in English and know the behaviour traits of a person', 'Understand social image of a person', 'Understand various social problems']"
851,1467960,Leadership Masterclass: The Complete Course on Leadership,personal_development,All Levels,"The Complete Leadership Skills Development Course: 30+ PDF guides, 25+ leadership strategies & free coaching included","[""Master the art of understanding other people's behaviour, aspirations, strengths, weaknesses, etc."", 'Become more self-aware through in depth self-training and -analysis', 'Know how to deploy leadership skills toward other people effectively without seeming to be bossy']"
